TIN,name,address,contact,sector,bank_account,registration_date,is_blacklisted
TIN00174,"Quinn, Shaw and Wright","50512 Angela Viaduct Apt. 240
Katherineborough, WV 60614",(979)217-5181,Manufacturing,GB10OMYW53948064383887,2023-07-30,False
TIN00175,Miller PLC,"70625 Carter Flat
West Lindsey, DE 45356",(325)463-9559,IT Services,GB17ACRE73955004874965,2022-01-24,False
TIN00176,"Sherman, Mitchell and Jenkins","64846 Dustin Fork Apt. 138
Richardbury, NH 91517",(636)712-6212,Healthcare,GB30UFJH60494670348368,2023-05-25,False
TIN00177,Kennedy-Andrews,"9807 Ruiz Green
Perezside, PR 90789",001-669-902-5772,Healthcare,GB08EPOT29055533222868,2024-02-22,False
TIN00178,"Nunez, Becker and Spencer","107 Cole Key Apt. 899
South Aprilberg, ND 64571",001-842-797-4057x177,Construction,GB50JRDJ34481989892389,2021-07-25,False
TIN00179,Howell and Sons,"0519 Victoria Fork Suite 366
New Thomas, SD 17727",(271)402-3759,Manufacturing,GB70IZJY89252602514604,2021-11-07,False
TIN00180,Brown LLC,"545 Ashley Alley
Matthewsport, MD 50382",+1-738-434-4266x5338,Healthcare,GB81NYQB20968318638265,2024-03-11,False
TIN00181,Greer Inc,"91267 Diana Spring Suite 557
Rayton, MA 35015",(926)859-4510x627,Manufacturing,GB65JEHV83859307317675,2021-02-25,True
TIN00182,Cooper-Church,"2429 Wolfe Mountains Apt. 268
Jenniferburgh, WY 27925",502.913.3986x792,IT Services,GB17DMXC95650586274088,2022-11-27,False
TIN00183,"Anderson, Gray and Mitchell","61934 Joshua Glens Suite 008
Bettyport, VA 19855",607-501-0950,Construction,GB32VVMI72398431786781,2023-07-21,False
TIN00184,"Woods, Hays and Campos","1987 Klein Well Apt. 540
West Michaelmouth, GA 61295",(305)591-9394x71066,IT Services,GB52BATR04597527406230,2020-09-14,False
TIN00185,King-Wilkins,"3707 Rollins Circle Suite 766
New Lindsey, MN 07733",297.834.3835x08172,Construction,GB93WFXU29395209668638,2022-12-14,False
TIN00186,Harris-Burch,"2261 Michael Turnpike Suite 220
Port Lucas, NM 89844",(461)807-5529,Healthcare,GB24WBWI40704027635886,2020-10-29,False
TIN00187,Silva Inc,"277 Romero Fork
Adamshire, NY 88882",001-621-743-6866x5148,Construction,GB17OSDV95566207156093,2021-11-26,False
TIN00188,"Morgan, Horne and Yang","239 Gabriel Burgs Apt. 749
South Jasonburgh, AZ 92091",(801)783-6652x2561,Retail,GB38LCQN28405593342006,2021-12-29,False
TIN00189,Boone LLC,"80102 Atkinson Circles
New Brandon, NY 57229",001-473-426-3103x38582,Manufacturing,GB03GXZL28689225446108,2023-12-01,False
TIN00190,"Choi, Morgan and Anderson","3362 Brown Parkways
Port Darrell, FM 17322",+1-772-711-9623x6551,Manufacturing,GB80OJKW90187968983420,2024-01-10,False
TIN00191,Gonzalez-Bennett,"5245 Joshua Ranch
Port Danielport, ND 97435",454.278.6823x1006,Retail,GB25XFFP90310851839819,2022-11-13,False
TIN00192,Brown and Sons,"17188 Jenna Overpass
Hamiltonville, TX 00947",529-530-6794x7452,IT Services,GB34GNRP25436718983328,2021-03-01,False
TIN00193,Wilkins-Fry,"1830 Jones Ports
West Charleston, TN 03739",(808)485-3572,Retail,GB93RCRQ59970263264972,2020-09-03,False
TIN00194,Campbell-Boyd,"6868 Brown Brook Suite 252
New Amy, OH 64990",4119451477,Healthcare,GB34ZRYE37406697196827,2022-03-05,False
TIN00195,Bryant-Henderson,"4381 Debra Hill Suite 108
Port Patriciamouth, SD 28386",844-396-1064,Healthcare,GB93FZIK81266465552204,2020-11-14,False
TIN00196,Brown and Sons,"024 Joseph Bypass
Lanestad, ME 43607",(205)635-6418x55231,Manufacturing,GB67HDMJ70446607758576,2022-05-22,False
TIN00197,"Price, Collier and Bailey","USS Gibson
FPO AP 49178",001-282-374-2705x95106,Healthcare,GB33TRVL46403735097366,2023-11-26,False
TIN00198,Martinez Group,"703 Taylor Causeway
Erikastad, NC 39133",001-260-236-3819x56344,Manufacturing,GB90BVAU20588293290822,2023-02-15,False
TIN00199,"Lucero, Norman and Hardy","06333 Green Route
Brianburgh, AZ 68558",(549)431-7370x68124,Retail,GB63XDDV38063238678294,2020-08-03,False
